"courseDetails","skuId","skuName"
"Akash byjus course order","BK08FCTP,BK09FCTP","Textbook Class 8 Foundation Course Test Prep - Aakash Byju's,Textbook Class 9 Foundation Course Test Prep - Aakash Byju's"
"Byjus classes order","BK04KXCB,BK05KXCB","Class-4 (Printed Books),Class-5 (Printed Books)"
"BTLP order","BKLKPKEL,BKUKPKEL","Class-LKG (Printed Books),Class-UKG (Printed Books)"
"BEP GATE order","BKGTCSWQNA,BKGTCSWBNA","GATE Computer Science Engineering Workbook Question Book set,GATE Computer Science Engineering Workbook Question Book set - 2"
"BEP CAT order","BKCTEFNA","CAT Printed Book Set"
